,Name,Time,Time_Range,ID,URL,Ingredients,steps,Tokens
10,Roasted Cauliflower With Lemon Brown Butter,60.0,0.0,1012866,http://cooking.nytimes.com/recipes/1012866-roasted-cauliflower-with-lemon-brown-butter,"['olive oil', 'sage leaves', 'cauliflower', 'table salt', 'unsalted butter', 'lemon', 'sea salt', 'salt']","Heat oil in a small pan until rippling. Add sage and cook, stirring, just until crisped, about 2 minutes. Lift out sage and drain on paper towels; transfer oil to a large bowl. Let sage cool and crumble with fingers into a small bowl. Stir in coarse salt and set aside. Heat oven to 375 degrees. Place roasting pan with an inch of water in oven bottom. Add cauliflower to bowl with oil, add about 1 teaspoon table salt, and toss gently until coated. Spread out on two large baking sheets. Bake until browned, 20 to 30 minutes. Melt butter in a small pan over medium heat. When foam subsides, watch closely and stir often. When white solids are brown and butter smells toasty, turn off heat, squeeze in juice of lemon and stir well. Transfer cauliflower to a bowl, pour butter over, and add lemon zest. Add half the sage salt and toss. Taste and season with remaining salt as needed. ","['rippl', 'stir', 'crisp', 'lift', 'transfer', 'let', 'set', 'roast', 'bowl', 'add', 'coat', 'spread', 'bake', 'brown', 'turn', 'transfer', 'pour', 'add', 'remain', 'need', 'butter', 'oil', 'lemon', 'oliv', 'sage', 'leav', 'sea', 'tabl', 'cauliflow', 'salt', 'unsalt']"
11,Caramelized Corn With Fresh Mint,30.0,0.0,1012867,http://cooking.nytimes.com/recipes/1012867-caramelized-corn-with-fresh-mint,"['corn kernels', 'unsalted butter', 'mint', 'salt']","If using frozen corn, drain between layers of paper towels until thawed, about 30 minutes. In a wide skillet, melt half the butter over high heat. Add half the corn and cook, stirring often, until golden and browned (kernels may begin to pop), about 10 minutes. Stir in half the mint and sprinkle with salt. Transfer to a serving bowl. Repeat with remaining corn, butter, mint and salt. ","['use', 'thaw', 'melt', 'stir', 'brown', 'transfer', 'serv', 'remain', 'butter', 'kernel', 'salt', 'corn', 'mint', 'unsalt']"
12,Salt-and-Pepper Roast Chicken,0.0,0.0,1017715,http://cooking.nytimes.com/recipes/1017715-salt-and-pepper-roast-chicken,"['chicken', 'salt', 'black pepper', 'herbs']","Season the chicken inside and out with salt and pepper. If you have time, refrigeratethe chicken, uncovered, for an hour, or overnight. Heat oven to 450 degrees. Place chicken breast-side up in a roasting pan or large ovenproof skillet. Stuff cavity with herbs and tie the legs together with kitchen twine. (If you dont have twine, leave the legs as they are.) Roast 50 minutes, then baste chicken with pan juices. Continue roasting until chicken's juices run clear when skin is pierced with a knife, 5 to 10 minutes longer. Let stand 10 minutes before carving. ","['refrigerateth', 'chicken', 'tie', 'roast', 'run', 'pierc', 'let', 'stand', 'black', 'chicken', 'salt', 'pepper', 'herb']"
13,Buttermilk Biscuits,30.0,0.0,1015210,http://cooking.nytimes.com/recipes/1015210-buttermilk-biscuits,"['all-purpose flour', 'cake flour', 'baking soda', 'baking powder', 'granulated sugar', 'cultured butter', 'buttermilk', 'egg', 'milk', 'sea salt', 'salt']","Heat oven to 425 degrees. Line a baking sheet with parchment paper.  In a large bowl, whisk together flours, baking powder, baking soda, salt and sugar. Using a pastry cutter or fork, quickly cut butter into flour mixture until it forms pea-size crumbs and is uniformly mixed. (For flaky biscuits, you want the butter to remain cold.) Make a well in center of mixture and pour in buttermilk. Stir together until it just forms a moist, slightly tacky dough.
 Turn dough out onto a lightly floured surface. Knead 2 or 3 times, then pat out into a 3/4-inch-thick round. Using a 2-inch round cutter, cut the biscuits. Do not twist the cutter; doing so prevents proper rising. To prevent sticking, dip the cutter lightly in flour between biscuits. Also, do not reroll scraps, but pat them together and cut into rounds. Transfer biscuits to baking sheet.
 Whisk egg and milk together with a fork. Generously brush egg wash on top of each biscuit. Bake until brown, 15 minutes. Serve hot.
 ","['line', 'whisk', 'bake', 'bake', 'use', 'cut', 'form', 'make', 'form', 'dough', 'flour', 'knead', 'pat', 'use', 'cut', 'twist', 'rise', 'prevent', 'dip', 'rerol', 'pat', 'cut', 'transfer', 'bake', 'butter', 'granul', 'flour', 'cultur', 'salt', 'sugar', 'buttermilk', 'powder', 'sea', 'soda', 'cake', 'bake', 'egg', 'milk', 'all-purpos']"
14,Roasted Vegetables,30.0,1.0,1017703,http://cooking.nytimes.com/recipes/1017703-roasted-vegetables,"['oil', 'fried eggs', 'herbs', 'vegetable', 'salt', 'pepper']","Heat oven to 425 degrees. Toss vegetables with oil, salt, and pepper. Roast, stirring at least once or twice during roasting for even cooking and browning. Serve with fried eggs and/or yogurt, ground black pepper and plenty of torn herbs on top. ","['stir', 'roast', 'cook', 'brown', 'serv', 'pepper', 'oil', 'veget', 'herb', 'fri', 'salt', 'egg']"
15,Steamed Mussels With Garlic and Parsley,30.0,0.0,1017709,http://cooking.nytimes.com/recipes/1017709-steamed-mussels-with-garlic-and-parsley,"['garlic', 'red pepper', 'mussels', 'white wine', 'baguette', 'parsley', 'olive oil', 'gin', 'olive', 'oil']","Heat broiler. Put olive oil in a large heavy-bottomed soup pot or Dutch oven over medium heat. Add the minced garlic and red pepper and let sizzle for 30 seconds without browning. Add the mussels, stir to coat and increase heat to high. Add the wine or water, and put on lid. After 2 minutes, give the mussels a stir, then replace lid and continue cooking until all mussels have opened, 6 to 8 minutes. Paint cut sides of the baguette pieces with oil and place cut side up under broiler to toast. Rub toasts with the remaining garlic cloves. Stir the chopped parsley into the mussels, then ladle mussels and broth into bowls. Serve with the garlic toasts. ","['put', 'dutch', 'add', 'let', 'sizzl', 'brown', 'add', 'increas', 'add', 'put', 'give', 'replac', 'open', 'cut', 'toast', 'toast', 'remain', 'stir', 'serv', 'pepper', 'baguett', 'oliv', 'parsley', 'oil', 'garlic', 'gin', 'mussel', 'white', 'red', 'wine']"
16,"Pasta With Bacon, Cheese, Lemon and Pine Nuts",30.0,0.0,1017712,http://cooking.nytimes.com/recipes/1017712-pasta-with-bacon-cheese-lemon-and-pine-nuts,"['bacon', 'parmesan', 'parsley', 'lemon', 'pasta', 'unsalted butter', 'pine nuts', 'salt', 'pepper flakes', 'red pepper', 'pepper']","Put a large pot of salted water on to boil.Put the cheese, herbs and red pepper flakes on the table. Zest the lemon and put the zest on the table in a small serving bowl. Cut the lemon in half. Put bacon in a medium-size heavy pot and turn the heat on low.Cook, turning occasionally, until fat has rendered and bacon is chewy-crisp, about 10 minutes. Lift out bacon pieces and drain on a plate lined with paper towels. Keep warm on top of the stove. When the water boils, add pasta, stir well and cover.When the water comes back to the boil, uncover and stir again. Put 4 tablespoons butter in a small saucepan and melt it over medium-low heat. When it foams, throw in the pine nuts and cook, shaking the pan, until they turn brown and toasty.Turn off heat and squeeze the lemon into the pan, cupping your hand underneath to catch any pits.Stir and set aside. Transfer bacon to a serving bowl and place on the table. As soon as the pasta is tender (it will cook a bit more later on), drain it, reserving a cup of the cooking water. Immediately return the pasta to the pan over low heat. Toss in a chunk of butter. Add a splash of cooking water and a pinch of salt, stir well, cover and let rest 1 minute.Taste and adjust the seasonings until the pasta is completely cooked and tasty (but plain). For those who like plain pasta or pasta with just butter and cheese, set aside a good amount in serving bowls. For others, pour the pine nuts and butter into the pasta remaining in the pot, add another splash of cooking water, and toss to combine. Serve from the pot or in a serving bowl, passing the various toppings. ","['put', 'boil.put', 'zest', 'put', 'cut', 'put', 'turn', 'turn', 'render', 'lift', 'line', 'add', 'cover.when', 'come', 'stir', 'put', 'melt', 'foam', 'shake', 'turn', 'toasty.turn', 'squeez', 'cup', 'catch', 'set', 'transfer', 'serv', 'drain', 'reserv', 'return', 'add', 'cook', 'let', 'rest', 'adjust', 'cook', 'like', 'plain', 'set', 'serv', 'pour', 'remain', 'add', 'cook', 'combin', 'serv', 'pass', 'butter', 'pepper', 'lemon', 'nut', 'bacon', 'parsley', 'pine', 'flake', 'parmesan', 'pasta', 'salt', 'red', 'unsalt']"
17,Baby Bok Choy With Oyster Sauce,10.0,0.0,1017698,http://cooking.nytimes.com/recipes/1017698-baby-bok-choy-with-oyster-sauce,"['soy sauce', 'oyster sauce', 'sugar', 'rice vinegar', 'neutral oil', 'garlic', 'bok choy']","Combine soy sauce, oyster sauce, sugar and rice vinegar in a bowl and set aside. Heat oil in a skillet or wok set over high heat. When it shimmers, add garlic, then bok choy, and stir-fry for 2 minutes. Add 2 to 3 tablespoons water to the skillet or wok, then cover it and allow to cook for 2 to 3 minutes more, until bok choy has softened nicely at its base. Remove bok choy from the skillet or wok and place it on a warmed platter. Drizzle the reserved sauce over the greens and serve. ","['set', 'set', 'shimmer', 'add', 'bok', 'cover', 'allow', 'cook', 'soften', 'bok', 'drizzl', 'reserv', 'vinegar', 'oil', 'sugar', 'sauc', 'neutral', 'bok', 'garlic', 'soy', 'choy', 'rice', 'oyster']"
18,Roasted Fish,15.0,0.0,1017701,http://cooking.nytimes.com/recipes/1017701-roasted-fish,"['fish', 'black pepper', 'olive oil', 'gin', 'olive', 'oil', 'lemon wedges', 'lemon', 'lemon wedge', 'sea salt', 'salt']","Heat oven to 400 degrees. Measure fish fillets at the thickest part. Drizzle fish with olive oil, sprinkle with salt and pepper and place on a rimmed baking sheet, skin side down if you've left the skin on. Roast fish for 10 minutes per inch of thickness, until the fish is opaque and tender when pierced with a fork but before it starts to flake. Serve with lemon wedges, drizzled with more good olive oil. ","[""'ve"", 'left', 'pierc', 'start', 'flake', 'serv', 'drizzl', 'pepper', 'oil', 'lemon', 'fish', 'oliv', 'wedg', 'black', 'sea', 'gin', 'salt']"
19,Vegan Apple Pie,90.0,0.0,1017691,http://cooking.nytimes.com/recipes/1017691-vegan-apple-pie,"['sea salt', 'barley flour', 'apple juice', 'raisins', 'cinnamon', 'lemon juice', 'pastry', 'flour', 'apples', 'apple', 'arrowroot', 'corn', 'butter']","Prepare the crust first by mixing the salt into the fresh pastry flour, then adding the butter substitute. Sprinkle the barley flour over this mixture, slightly mix, and add enough water to make a thick ball of dough (between three and four tablespoons). Quickly roll out between two sheets of wax paper or on a board used for pie crusts. Shape the dough into a 12-inch circle and place into a lightly greased glass or ceramic pie pan. Crimp the edges at the top of the pan. Prick the bottom and sides of the pie crust lightly with a fork so the crust will not puff up and let the liquid from the pie filling go under it. Store in the refrigerator while you make the filling. While the crust chills, combine the apples, 1/3 cup of the apple juice and the raisins and bring to a boil. Cover and simmer 15 minutes. Mix in the cinnamon and lemon juice. Preheat oven to 350. Remove from heat and allow to cool. Combine the thickener and remaining 1 cup of apple juice, stir until dissolved and bring to a boil. Simmer about 1 minute or until transparent and thickened. Spoon the apples into the crust and pour the thickened mixture over them. Bake for about 40 minutes. ","['prepar', 'mix', 'ad', 'sprinkl', 'add', 'make', 'roll', 'use', 'shape', 'greas', 'crimp', 'prick', 'puff', 'let', 'fill', 'make', 'combin', 'bring', 'simmer', 'remov', 'allow', 'cool', 'combin', 'remain', 'dissolv', 'bring', 'simmer', 'thicken', 'pour', 'bake', 'butter', 'cinnamon', 'lemon', 'pastri', 'flour', 'corn', 'raisin', 'arrowroot', 'appl', 'barley', 'sea', 'salt', 'juic']"
20,Brooks Headley's Ice Cream Sandwich,10.0,0.0,1016812,http://cooking.nytimes.com/recipes/1016812-brooks-headleys-ice-cream-sandwich,"['white bread', 'gelato', 'unsalted butter', 'sea salt', 'olive oil', 'gin', 'olive', 'oil']","Smear the bread with butter and sear in a cast-iron or nonstick pan until lightly caramelized and golden. Allow to cool a few minutes. Place the bread sear-side out on a work surface. Scoop the gelato onto one slice of bread and top with the other slice. Slice into 4 pieces and top with a drizzle with high quality extra-virgin olive oil and a light sprinkle of salt. Serve immediately, or hold in the freezer for up to one hour. ","['caramel', 'allow', 'cool', 'place', 'scoop', 'hold', 'butter', 'oil', 'gelato', 'oliv', 'sea', 'gin', 'white', 'bread', 'salt', 'unsalt']"
21,Tomato Sandwiches,10.0,0.0,1017666,http://cooking.nytimes.com/recipes/1017666-tomato-sandwiches,"['country bread', 'garlic', 'tomato', 'sea salt', 'mayonnaise', 'tomato', 'white onion', 'bacon', 'olive oil', 'gin', 'olive', 'oil']","Toast the bread. Take each slice and rub one side all over with the cut side of the garlic clove. (The clove should start to disintegrate into the bread.) Rub each slice with the cut sides of the soft halved tomato, pressing so the tomato flesh sticks to the bread. Drizzle bread with oil, then sprinkle with salt. Spread mayonnaise over the tomato pulp. Place the sliced tomatoes on top of 2 pieces of the bread. Cover tomato slices with onions and sprinkle with salt. Top with bacon if using, then use the other 2 slices of tomato-rubbed bread to make sandwiches. Eat over the sink. ","['take', 'rub', 'halv', 'press', 'sprinkl', 'place', 'use', 'use', 'make', 'tomato', 'oil', 'onion', 'oliv', 'bacon', 'mayonnais', 'garlic', 'sea', 'gin', 'countri', 'white', 'salt', 'bread']"
22,Pasta With Fresh Tomato Sauce and Ricotta,30.0,0.0,1017651,http://cooking.nytimes.com/recipes/1017651-pasta-with-fresh-tomato-sauce-and-ricotta,"['dried pasta', 'butter', 'red pepper', 'ricotta', 'pecorino', 'basil', 'salt', 'pepper', 'sauce', 'tomato sauce', 'tomato']","Cook the pasta in a large pot of well-salted water, making sure to keep it quite al dente. Put butter in a wide deep skillet over medium heat. Add drained pasta to the pan and season with salt, pepper and crushed red pepper, if using. Add tomato sauce gradually and stir to coat pasta, using only enough sauce for a light coating (you may not need the entire 2 1/2 cups). Transfer pasta to a warm serving bowl and dot top with spoonfuls of ricotta. Sprinkle lightly with pecorino and garnish with a few torn basil leaves. ","['cook', 'make', 'keep', 'put', 'drain', 'crush', 'use', 'stir', 'coat', 'use', 'transfer', 'dot', 'butter', 'sauc', 'pepper', 'pecorino', 'dri', 'basil', 'tomato', 'pasta', 'ricotta', 'salt', 'red']"
23,Aioli,10.0,0.0,1017662,http://cooking.nytimes.com/recipes/1017662-aioli,"['garlic', 'lemon juice', 'egg', 'egg', 'sea salt', 'salt', 'olive oil', 'gin', 'olive', 'oil']","Combine garlic, lemon juice and salt in a blender or food processor and let sit a minute or two. Add eggs and blend until combined. With the blender running, slowly add the olive oil in a thin, steady stream. You can use a mortar and pestle if you prefer. Taste for seasoning and add more salt and lemon juice if needed. ","['let', 'sit', 'combin', 'add', 'use', 'pestl', 'prefer', 'season', 'add', 'need', 'oil', 'lemon', 'egg', 'oliv', 'garlic', 'sea', 'gin', 'salt', 'juic']"
24,No-Bake Blueberry Cheesecake Bars,0.0,0.0,1017653,http://cooking.nytimes.com/recipes/1017653-no-bake-blueberry-cheesecake-bars,"['graham cracker', 'pecans', 'butter', 'cream cheese', 'ricotta cheese', 'honey', 'lemon', 'salt', 'blueberries']","Combine crushed graham crackers, nuts if using, and melted butter. Press evenly into bottom of an 8- or 9-inch square pan (glass is good) to form a crust about 1/4-inch thick. Put in refrigerator until ready to use. Using a standing or hand mixer, or a whisk, combine cream cheese, ricotta, honey, lemon rind and salt, and blend until smooth. Spread cheese mixture carefully and evenly over crust, using a spatula or butter knife to smooth top. Cover with fresh blueberries and chill for at least an hour, or until set. Cut into squares or bars and serve. ","['crush', 'use', 'melt', 'form', 'put', 'use', 'use', 'combin', 'blend', 'use', 'smooth', 'set', 'butter', 'lemon', 'salt', 'cracker', 'blueberri', 'honey', 'chees', 'pecan', 'ricotta', 'graham', 'cream']"
